,bill_number,bill_link,bill_description,bill_date,bill_section,bill_sponsor,sponsor_party,sponsor_name,bill_year
0,S7728,https://www.nysenate.gov/legislation/bills/2011/s7728/amendment/original,Establishes a beer production tax credit for beer produced within the state by a taxpayer that is registered as a distributor; repealer,2012-07-18,Tax ,ZELDIN,Republican,Lee Zeldin,2012
1,S6193,https://www.nysenate.gov/legislation/bills/2011/s6193/amendment/original,"Authorizes assessor of the town of Islip, county of Suffolk to exempt certain parcels owned by BB/S Facilities Management Corporation from taxation",2012-07-18,Property Tax,ZELDIN,Republican,Lee Zeldin,2012
2,S7131,https://www.nysenate.gov/legislation/bills/2011/s7131/amendment/original,Relates to limiting base proportion for the 2012-2013 assessment roll in the county of Suffolk,2012-06-29,Property Tax,ZELDIN,Republican,Lee Zeldin,2012
3,S5196,https://www.nysenate.gov/legislation/bills/2011/s5196/amendment/original,Relates to the regulation of certain types of clams,2011-08-17,Environmental Conservation,ZELDIN,Republican,Lee Zeldin,2011
4,S4092,https://www.nysenate.gov/legislation/bills/2013/s4092/amendment/original,"Authorizes Hands Across Long Island, Inc. to retroactively apply for a real property tax exemption for certain property in Ronkonkoma",2013-11-13,Property Tax,ZELDIN,Republican,Lee Zeldin,2013
5,S5639,https://www.nysenate.gov/legislation/bills/2013/s5639/amendment/original,"Authorizes New York 811, Inc. to receive retroactive real property tax exempt status",2013-11-13,Property Tax,ZELDIN,Republican,Lee Zeldin,2013
6,S5367,https://www.nysenate.gov/legislation/bills/2013/s5367/amendment/original,Authorizes Saint John's Evangelical Lutheran Church to file an application for retroactive tax exempt status,2013-10-21,Property Tax,ZELDIN,Republican,Lee Zeldin,2013
7,S5722,https://www.nysenate.gov/legislation/bills/2013/s5722/amendment/original,Extends the authorization of the village of Patchogue to use sewer surplus for infrastructure projects,2013-07-31,Villages,ZELDIN,Republican,Lee Zeldin,2013
8,S5027,https://www.nysenate.gov/legislation/bills/2013/s5027/amendment/original,Relates to limiting base proportion for the 2013-2014 assessment roll in the county of Suffolk,2013-07-31,Property Tax,ZELDIN,Republican,Lee Zeldin,2013
9,S5838,https://www.nysenate.gov/legislation/bills/2013/s5838/amendment/original,Relates to management of the American lobster; repealer,2013-07-31,Environmental Conservation,ZELDIN,Republican,Lee Zeldin,2013
10,S5819,https://www.nysenate.gov/legislation/bills/2013/s5819/amendment/original,"Relates to the application by the town of Brookhaven for the transfer or conveyance of land formerly used as an armory to the town of Brookhaven, county of Suffolk",2013-07-12,Municipalities,ZELDIN,Republican,Lee Zeldin,2013
11,S4220,https://www.nysenate.gov/legislation/bills/2013/s4220/amendment/original,Authorizes DEC to manage whelk and conch,2013-05-22,Environmental Conservation,ZELDIN,Republican,Lee Zeldin,2013
12,S4221,https://www.nysenate.gov/legislation/bills/2013/s4221/amendment/original,Extends the authority of the department of environmental conservation to manage scallops,2013-05-22,Environmental Conservation,ZELDIN,Republican,Lee Zeldin,2013
13,A3762,https://www.nysenate.gov/legislation/bills/2009/a3762/amendment/original,Relates to the transportation and possession of a slot machine under certain circumstances,2010-08-13,Penal ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2010
14,A8815,https://www.nysenate.gov/legislation/bills/2009/a8815/amendment/original,Provides a residential membership exemption for volunteer firefighters in Rockland Lake fire district in Rockland County,2009-09-16,Towns ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2009
15,A9182,https://www.nysenate.gov/legislation/bills/2011/a9182/amendment/original,Relates to specifying the time frame under which the village of Southampton shall pay certain retirement costs,2012-07-18,Retirement and Social Security,THIELE,Independence Party,Fred Thiele,2012
16,A6963,https://www.nysenate.gov/legislation/bills/2009/a6963/amendment/original,Strengthens wage and hour protections for working people,2009-08-26,Labor ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2009
17,A6565,https://www.nysenate.gov/legislation/bills/2009/a6565/amendment/original,Authorizes and empowers the county of Rockland to amortize the cost of the targeted county retirement program of the county of Rockland,2009-07-11,Local Finance ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2009
18,A6836,https://www.nysenate.gov/legislation/bills/2011/a6836/amendment/original,Relates to an application for relief in aid of arbitration in a city court,2011-08-03,Uniform City Court Act,ZEBROWSKI,Democrat,Kenneth Zebrowski,2011
19,A6964,https://www.nysenate.gov/legislation/bills/2011/a6964/amendment/original,Relates to the management of American shad,2011-08-03,Environmental Conservation,ZEBROWSKI,Democrat,Kenneth Zebrowski,2011
20,A6965,https://www.nysenate.gov/legislation/bills/2011/a6965/amendment/original,Relates to the management of Atlantic and shortnose sturgeon,2011-08-03,Environmental Conservation,ZEBROWSKI,Democrat,Kenneth Zebrowski,2011
21,A6966,https://www.nysenate.gov/legislation/bills/2011/a6966/amendment/original,Relates to the management of alewife,2011-08-03,Environmental Conservation,ZEBROWSKI,Democrat,Kenneth Zebrowski,2011
22,A5184,https://www.nysenate.gov/legislation/bills/2011/a5184/amendment/original,Relates to the employment of police officers in the town of Southampton; repealer,2011-08-03,Retirement and Social Security,THIELE,Independence Party,Fred Thiele,2011
23,A6648,https://www.nysenate.gov/legislation/bills/2013/a6648/amendment/original,"Authorizes the assessor of the town of Haverstraw to accept an application for exemption from real property taxes from Head Start of Rockland, Inc. for a certain parcel of land located in the town of Haverstraw",2013-10-23,Property Tax,ZEBROWSKI,Democrat,Kenneth Zebrowski,2013
