,bill_number,bill_link,bill_description,bill_date,bill_section,bill_sponsor,Sponsor party
0,A42007,https://www.nysenate.gov/legislation/bills/2009/a42007/amendment/original,Renames the Brooklyn battery tunnel the Hugh L. Carey tunnel," December 10, 2010",Public Authorities Law,,
1,A42012,https://www.nysenate.gov/legislation/bills/2009/a42012/amendment/original,Updates the state energy conservation construction code to address the requirements of the American Recovery and Reinvestment Act of 2009," December 10, 2010",Energy Law,,
2,A42014,https://www.nysenate.gov/legislation/bills/2009/a42014/amendment/original,Relates to the powers and duties of the dormitory authority of the state of New York relative to the establishment of subsidiaries for certain purposes," December 10, 2010",Public Authorities Law,,
3,S68004,https://www.nysenate.gov/legislation/bills/2009/s68004/amendment/original,"Relates to cost-sharing, deductible or co-insurance for tier IV prescription drugs and unlawful discriminatory practice in prescribing such drugs; repealer"," December 10, 2010",Public Health Law,,
4,S68005,https://www.nysenate.gov/legislation/bills/2009/s68005/amendment/original,Makes technical corrections to provisions of the multiple dwelling law relating to time to obtain certificates of occupancy," December 10, 2010",Multiple Dwelling Law,,
5,S68010,https://www.nysenate.gov/legislation/bills/2009/s68010/amendment/original,"Establishes a special commission on judicial compensation, and provides for their powers and duties and provides periodic salary increases to state officers"," December 10, 2010",Judiciary,,
6,S8380,https://www.nysenate.gov/legislation/bills/2009/s8380/amendment/original,Establishes the wage theft prevention act," December 10, 2010",Labor Law,SAVINO,
7,S7053,https://www.nysenate.gov/legislation/bills/2009/s7053/amendment/original,Provides that certain information shall be kept confidential and redacted or withheld from referees' hearings records or referees' decisions," October 20, 2010",Labor Law,ONORATO,
8,S8357,https://www.nysenate.gov/legislation/bills/2009/s8357/amendment/original,Relates to establishing a state high speed rail planning board," October 20, 2010",Transportation Law,SMITH,
9,S7075,https://www.nysenate.gov/legislation/bills/2009/s7075/amendment/original,relating to additional credits for certain persons on exams," October 20, 2010",Civil Service Law,SAVINO,
10,S5474,https://www.nysenate.gov/legislation/bills/2009/s5474/amendment/original,"Relates to pilotage rates at Sandy Hook, Sands Point or Execution Rocks"," October 1, 2010",Navigation Law,SAVINO,
11,S7717,https://www.nysenate.gov/legislation/bills/2009/s7717/amendment/original,Extends the authorization for the county of Herkimer to impose a county recording tax on obligation secured by a mortgage on real property until 2012," October 1, 2010",Herkimer County,SEWARD,
12,S7753,https://www.nysenate.gov/legislation/bills/2009/s7753/amendment/original,Relates to local enforcement of bulk storage of petroleum and the collection of fines and penalties," October 1, 2010",Environmental Conservation Law,OPPENHEIMER,
13,S8057,https://www.nysenate.gov/legislation/bills/2009/s8057/amendment/original,Establishes a two year statute of limitations in seeking relief from a default in exercising an elective share," October 1, 2010","Estates, Powers and Trusts Law",SAVINO,
14,S8083,https://www.nysenate.gov/legislation/bills/2009/s8083/amendment/original,Relates to the determination of adjusted base proportions in special assessing units which are cities for the fiscal year 2011," October 1, 2010",Real Property Tax Law,KRUEGER,
15,S8244,https://www.nysenate.gov/legislation/bills/2009/s8244/amendment/original,Relates to the license to sell liquors at retail for consumption at 4 North Main street in the town of Bainbridge," October 1, 2010",Alcoholic Beverage Control Law,LIBOUS,
16,S8361,https://www.nysenate.gov/legislation/bills/2009/s8361/amendment/original,Authorizes the city of New York to sell certain property that cannot be independently developed," October 1, 2010",New York City Charter,PERALTA,
17,S8372,https://www.nysenate.gov/legislation/bills/2009/s8372/amendment/original,"Provides for temporary surrender of the license of a dentist or pharmacist with a drug or alcohol abuse problem, or such other disposition as determined by the department of education"," October 1, 2010",Education Law,KLEIN,
18,S5634,https://www.nysenate.gov/legislation/bills/2009/s5634/amendment/original,Removes restrictions on designation of officers or employees of subsidiary corporations of the MTA as public officers or public employees," October 1, 2010",Public Authorities Law,SAVINO,
19,S7451,https://www.nysenate.gov/legislation/bills/2009/s7451/amendment/original,Allows child care providers to organize themselves and select representatives for the purposes of discussing with the state the conditions of their employment," October 1, 2010",Labor Law,SAVINO,
20,A6420,https://www.nysenate.gov/legislation/bills/2009/a6420/amendment/original,Relates to the commission for the blind and the operation of vending facilities," October 1, 2010",Commissions,WEISENBERG,
21,A2294,https://www.nysenate.gov/legislation/bills/2009/a2294/amendment/original,Relates to the taking of fish for commercial purposes," September 17, 2010",Environmental Conservation Law,THIELE,
22,A4687,https://www.nysenate.gov/legislation/bills/2009/a4687/amendment/original,Increases membership of New York city housing authority," September 17, 2010",Public Housing Law,LOPEZ V,
23,A6192,https://www.nysenate.gov/legislation/bills/2009/a6192/amendment/original,Changes composition of the advisory council for the housing part of the New York city civil court," September 17, 2010",New York City Civil Court Act,WEINSTEIN,
24,A8285,https://www.nysenate.gov/legislation/bills/2009/a8285/amendment/original,Adds certain substances to the list of nonprescription drugs reimbursed by medicaid," September 17, 2010",Social Services Law,ROSENTHAL,
25,A9913,https://www.nysenate.gov/legislation/bills/2009/a9913/amendment/original,"Authorizes the village of Port Dickinson, in the county of Broome, to offer an optional twenty year retirement plan to Sean Crouse and Paul Buttacovoli"," September 17, 2010",Retirement,CROUCH,
26,A9947,https://www.nysenate.gov/legislation/bills/2009/a9947/amendment/original,Authorizes William Bianco and Eric Lipinsky to file for retroactive membership in the optional 20 year retirement plan," September 17, 2010",Retirement,ALESSI,
27,A10109,https://www.nysenate.gov/legislation/bills/2009/a10109/amendment/original,Allows members of the New York state and local police and fire retirement system who retire to elect the alternative option," September 17, 2010",Retirement and Social Security Law,ABBATE,
28,A10123,https://www.nysenate.gov/legislation/bills/2009/a10123/amendment/original,"Amends chapter 537 of the laws of 2008, amending the education law relating to a restricted dental faculty license, in relation to extending the expiration of such chapter"," September 17, 2010",Education Law,GLICK,
29,A10268,https://www.nysenate.gov/legislation/bills/2009/a10268/amendment/original,"Authorizes the town of Kirkland to offer an optional twenty year retirement plan to police officers Griffin, Knight, Cania and Smoulcey"," September 17, 2010",Oneida County,TOWNSEND,
30,A10638,https://www.nysenate.gov/legislation/bills/2009/a10638/amendment/original,Authorizes a limited permit to practice dental hygiene," September 17, 2010",Education Law,PAULIN,
